epoch,classification_output_accuracy,classification_output_auc,classification_output_loss,learning_rate,loss,regression_output_loss,regression_output_mae,regression_output_mse,val_classification_output_accuracy,val_classification_output_auc,val_classification_output_loss,val_loss,val_regression_output_loss,val_regression_output_mae,val_regression_output_mse
0,0.9250550866127014,0.5154439210891724,0.269814133644104,0.0010000000474974513,1017.3582153320312,1684.6697998046875,27.104949951171875,1688.1746826171875,0.9982851147651672,0.42640113830566406,0.0683521255850792,1646.5997314453125,2721.166259765625,36.22050857543945,2737.248291015625
1,0.9952700138092041,0.5386999845504761,0.06450304388999939,0.0010000000474974513,1015.2235717773438,1681.852294921875,26.970006942749023,1685.0770263671875,0.9982851147651672,0.43940573930740356,0.054777372628450394,1645.8529052734375,2720.243408203125,36.137271881103516,2735.72265625
2,0.9954537153244019,0.48981791734695435,0.04370315000414848,0.0010000000474974513,1014.5922241210938,1681.08203125,26.924156188964844,1684.0352783203125,0.9982851147651672,0.37639573216438293,0.06664960086345673,1645.626953125,2720.076171875,36.129058837890625,2735.539306640625
3,0.9954537153244019,0.4849109351634979,0.038208335638046265,0.0010000000474974513,1014.4260864257812,1681.068115234375,26.913591384887695,1683.89404296875,0.9982851147651672,0.42680373787879944,0.021347656846046448,1645.4197998046875,2720.035400390625,36.1265983581543,2735.487060546875
4,0.9954537153244019,0.47026172280311584,0.037044186145067215,0.0010000000474974513,1014.1903686523438,1680.9639892578125,26.906740188598633,1683.72412109375,0.9982851147651672,0.3495812714099884,0.020684879273176193,1645.226318359375,2720.0107421875,36.12566375732422,2735.457763671875
5,0.9954537153244019,0.503217339515686,0.03635749965906143,0.0010000000474974513,1013.9998779296875,1680.9522705078125,26.903867721557617,1683.673828125,0.9982851147651672,0.5,0.013818249106407166,1645.0452880859375,2720.016357421875,36.12638854980469,2735.468505859375
6,0.9954537153244019,0.4848426282405853,0.03543170914053917,0.0010000000474974513,1013.8471069335938,1680.9952392578125,26.901138305664062,1683.6844482421875,0.9982851147651672,0.4975842535495758,0.015420381911098957,1644.85888671875,2720.0048828125,36.12526321411133,2735.45068359375
7,0.9954537153244019,0.49419859051704407,0.03439536690711975,0.0010000000474974513,1013.6402587890625,1680.9576416015625,26.8984432220459,1683.605224609375,0.9982851147651672,0.34756818413734436,0.015910889953374863,1644.671875,2719.9970703125,36.1248779296875,2735.4404296875
8,0.9954537153244019,0.4679633378982544,0.03528771176934242,0.0010000000474974513,1013.4512329101562,1680.9427490234375,26.897560119628906,1683.582275390625,0.9982851147651672,0.38537418842315674,0.014844044111669064,1644.4898681640625,2719.99365234375,36.124717712402344,2735.436279296875
9,0.9954537153244019,0.48189955949783325,0.0344725139439106,0.0010000000474974513,1013.2716064453125,1680.9415283203125,26.896862030029297,1683.5699462890625,0.9982851147651672,0.42318016290664673,0.015443568117916584,1644.317626953125,2719.994873046875,36.12470626831055,2735.4375
10,0.9954537153244019,0.5116995573043823,0.033776119351387024,0.0010000000474974513,1013.08447265625,1680.911865234375,26.896265029907227,1683.5330810546875,0.9982851147651672,0.4235827922821045,0.014487113803625107,1644.1488037109375,2719.990478515625,36.12455749511719,2735.4326171875
11,0.9954537153244019,0.4963686466217041,0.033830586820840836,0.0010000000474974513,1012.89697265625,1680.867919921875,26.896015167236328,1683.4964599609375,0.9982851147651672,0.5,0.013179197907447815,1643.9901123046875,2719.987548828125,36.12454605102539,2735.429931640625
12,0.9954537153244019,0.4394097626209259,0.03628162667155266,0.0010000000474974513,1012.77978515625,1680.9246826171875,26.895748138427734,1683.5465087890625,0.9982851147651672,0.3991840183734894,0.013592126779258251,1643.8421630859375,2719.987548828125,36.12449264526367,2735.4296875
13,0.9954537153244019,0.48293164372444153,0.0346151702105999,0.0010000000474974513,1012.6239013671875,1680.908935546875,26.89509391784668,1683.5211181640625,0.9982851147651672,0.3991840183734894,0.013672851026058197,1643.7030029296875,2719.98974609375,36.12452697753906,2735.431640625
14,0.9954537153244019,0.5367139577865601,0.033528849482536316,0.0010000000474974513,1012.4683837890625,1680.8726806640625,26.89491844177246,1683.4906005859375,0.9982851147651672,0.34756818413734436,0.021979497745633125,1643.578125,2719.9892578125,36.12449264526367,2735.431396484375
15,0.9954537153244019,0.4893532991409302,0.03444695472717285,0.0010000000474974513,1012.3533325195312,1680.88671875,26.89516258239746,1683.5047607421875,0.9982851147651672,0.3991840183734894,0.01927977427840233,1643.4560546875,2719.99169921875,36.124542236328125,2735.433349609375
16,0.9954537153244019,0.5284223556518555,0.033585187047719955,0.0010000000474974513,1012.2505493164062,1680.9183349609375,26.894615173339844,1683.526611328125,0.9982851147651672,0.5,0.013102609664201736,1643.3331298828125,2719.98828125,36.12445831298828,2735.429931640625
17,0.9954537153244019,0.49089550971984863,0.033632975071668625,0.0010000000474974513,1012.11767578125,1680.8870849609375,26.894224166870117,1683.4979248046875,0.9982851147651672,0.3483734130859375,0.015359588898718357,1643.226318359375,2719.989990234375,36.12446212768555,2735.431396484375
18,0.9954537153244019,0.4897673726081848,0.03418421372771263,0.0010000000474974513,1012.0162353515625,1680.8948974609375,26.894378662109375,1683.5018310546875,0.9982851147651672,0.3483734130859375,0.018963636830449104,1643.122802734375,2719.988525390625,36.12442398071289,2735.43017578125
19,0.9954537153244019,0.4634847939014435,0.03481684997677803,0.0010000000474974513,1011.9149780273438,1680.890380859375,26.894123077392578,1683.49462890625,0.9982851147651672,0.3991840183734894,0.01458110474050045,1643.0267333984375,2719.98876953125,36.12442398071289,2735.430419921875
20,0.9954537153244019,0.4734877347946167,0.03421644866466522,0.0010000000474974513,1011.8258666992188,1680.89013671875,26.894100189208984,1683.500732421875,0.9982851147651672,0.3991840183734894,0.020472612231969833,1642.94677734375,2719.98828125,36.12440872192383,2735.4296875
21,0.9954537153244019,0.49399423599243164,0.0339495912194252,0.0010000000474974513,1011.7281494140625,1680.86328125,26.894105911254883,1683.4715576171875,0.9982851147651672,0.3991840183734894,0.02118402160704136,1642.8695068359375,2719.994140625,36.12459182739258,2735.4365234375
22,0.9954537153244019,0.477216899394989,0.033589866012334824,0.0010000000474974513,1011.6702880859375,1680.8861083984375,26.89415168762207,1683.4981689453125,0.9982851147651672,0.3991840183734894,0.013708552345633507,1642.7962646484375,2719.986572265625,36.12437057495117,2735.427978515625
23,0.9954537153244019,0.5063638687133789,0.03321528434753418,0.0010000000474974513,1011.6016845703125,1680.8948974609375,26.8936710357666,1683.4912109375,0.9982851147651672,0.3991840183734894,0.013798024505376816,1642.722900390625,2719.987548828125,36.12443542480469,2735.429443359375
24,0.9954537153244019,0.49396973848342896,0.03319055214524269,0.0010000000474974513,1011.5391235351562,1680.8919677734375,26.893699645996094,1683.4949951171875,0.9982851147651672,0.5,0.013116670772433281,1642.663818359375,2719.98681640625,36.124366760253906,2735.427490234375
25,0.9954537153244019,0.5082005262374878,0.033645182847976685,0.0010000000474974513,1011.4666748046875,1680.8775634765625,26.893478393554688,1683.47900390625,0.9982851147651672,0.3991840183734894,0.014649647288024426,1642.600830078125,2719.98828125,36.12439727783203,2735.429443359375
26,0.9954537153244019,0.49022287130355835,0.03284846246242523,0.0010000000474974513,1011.3860473632812,1680.8426513671875,26.893320083618164,1683.4454345703125,0.9982851147651672,0.3991840183734894,0.018670059740543365,1642.549560546875,2719.9873046875,36.12437057495117,2735.42822265625
27,0.9954537153244019,0.5036695599555969,0.032479796558618546,0.0010000000474974513,1011.380126953125,1680.9039306640625,26.89361572265625,1683.5076904296875,0.9982851147651672,0.3991840183734894,0.015666214749217033,1642.5074462890625,2719.987548828125,36.12440490722656,2735.4287109375
28,0.9954537153244019,0.4744336009025574,0.03356913477182388,0.0010000000474974513,1011.3174438476562,1680.8804931640625,26.893779754638672,1683.483154296875,0.9982851147651672,0.3483734130859375,0.01951243355870247,1642.4632568359375,2719.994384765625,36.12461853027344,2735.436767578125
29,0.9954537153244019,0.44349294900894165,0.03383198007941246,0.0010000000474974513,1011.2694091796875,1680.8773193359375,26.893451690673828,1683.4781494140625,0.9982851147651672,0.34756818413734436,0.015415278263390064,1642.416748046875,2719.987548828125,36.12440872192383,2735.428955078125
30,0.9954537153244019,0.49922388792037964,0.03240681067109108,0.0010000000474974513,1011.2388916015625,1680.8929443359375,26.89312744140625,1683.4901123046875,0.9982851147651672,0.3991840183734894,0.018467726185917854,1642.376708984375,2719.9873046875,36.12435531616211,2735.427978515625
31,0.9954537153244019,0.4618062973022461,0.033235013484954834,0.0010000000474974513,1011.1964721679688,1680.8870849609375,26.89313316345215,1683.4832763671875,0.9982851147651672,0.3991840183734894,0.01635076478123665,1642.3406982421875,2719.987060546875,36.12434768676758,2735.427978515625
32,0.9954537153244019,0.4933378994464874,0.03252862021327019,0.0010000000474974513,1011.1682739257812,1680.893798828125,26.89311408996582,1683.4906005859375,0.9982851147651672,0.3991840183734894,0.015928447246551514,1642.309814453125,2719.98681640625,36.12434005737305,2735.427734375
33,0.9954537153244019,0.5097764730453491,0.03259289637207985,0.0010000000474974513,1011.1329956054688,1680.8839111328125,26.89302635192871,1683.4814453125,0.9982851147651672,0.3991840183734894,0.014532839879393578,1642.2906494140625,2719.987548828125,36.12435531616211,2735.428466796875
34,0.9954537153244019,0.4673917889595032,0.03293326124548912,0.0010000000474974513,1011.1275024414062,1680.88818359375,26.89351463317871,1683.491943359375,0.9982851147651672,0.3991840183734894,0.018074005842208862,1642.2816162109375,2719.987060546875,36.12434768676758,2735.427978515625
35,0.9954537153244019,0.5032695531845093,0.03224628046154976,0.0010000000474974513,1011.0913696289062,1680.8558349609375,26.893211364746094,1683.454833984375,0.9982851147651672,0.3991840183734894,0.016066955402493477,1642.26171875,2719.98681640625,36.12433624267578,2735.427734375
36,0.9954537153244019,0.46981650590896606,0.03283276781439781,0.0010000000474974513,1011.0908203125,1680.88671875,26.893293380737305,1683.486083984375,0.9982851147651672,0.3991840183734894,0.014783227816224098,1642.2406005859375,2719.986328125,36.124366760253906,2735.42724609375
37,0.9954537153244019,0.5023333430290222,0.03229575604200363,0.0010000000474974513,1011.069091796875,1680.87841796875,26.892911911010742,1683.4796142578125,0.9982851147651672,0.3991840183734894,0.014686573296785355,1642.22802734375,2719.987548828125,36.12435531616211,2735.428466796875
38,0.9954537153244019,0.5137139558792114,0.03235376253724098,0.0010000000474974513,1011.0546264648438,1680.8765869140625,26.893041610717773,1683.4744873046875,0.9982851147651672,0.3483734130859375,0.016519246622920036,1642.22119140625,2719.987060546875,36.12432861328125,2735.427734375
39,0.9954537153244019,0.4882920980453491,0.03228320926427841,0.0010000000474974513,1011.056640625,1680.8905029296875,26.89314842224121,1683.48876953125,0.9982851147651672,0.3991840183734894,0.01812879927456379,1642.2158203125,2719.9873046875,36.12434768676758,2735.42822265625
40,0.9954537153244019,0.5053259134292603,0.03215065225958824,0.0010000000474974513,1011.0446166992188,1680.8870849609375,26.892986297607422,1683.4835205078125,0.9982851147651672,0.3991840183734894,0.014103653840720654,1642.1964111328125,2719.98779296875,36.124351501464844,2735.4287109375
41,0.9954537153244019,0.5163828730583191,0.03213027864694595,0.0010000000474974513,1011.028076171875,1680.875732421875,26.893024444580078,1683.4722900390625,0.9982851147651672,0.3483734130859375,0.019348222762346268,1642.194580078125,2719.98681640625,36.12434387207031,2735.427978515625
42,0.9954537153244019,0.5144698023796082,0.03146503493189812,0.0010000000474974513,1011.033447265625,1680.8883056640625,26.893007278442383,1683.484375,0.9982851147651672,0.3991840183734894,0.019436532631516457,1642.189697265625,2719.98681640625,36.12432861328125,2735.427490234375
43,0.9954537153244019,0.5178248286247253,0.031778495758771896,0.0010000000474974513,1011.015869140625,1680.8798828125,26.892871856689453,1683.4755859375,0.9982851147651672,0.3483734130859375,0.01748879812657833,1642.17626953125,2719.98681640625,36.12433624267578,2735.427978515625
44,0.9954537153244019,0.4556775689125061,0.03215571120381355,0.0010000000474974513,1011.0082397460938,1680.883056640625,26.892915725708008,1683.4796142578125,0.9982851147651672,0.5,0.013195307925343513,1642.1728515625,2719.990966796875,36.12459945678711,2735.43310546875
45,0.9954537153244019,0.4761465787887573,0.032419104129076004,0.0010000000474974513,1011.0089721679688,1680.8819580078125,26.892797470092773,1683.4766845703125,0.9982851147651672,0.3991840183734894,0.016261547803878784,1642.177490234375,2719.98681640625,36.12432861328125,2735.427490234375
46,0.9954537153244019,0.4810638427734375,0.032299336045980453,0.0010000000474974513,1011.0061645507812,1680.8787841796875,26.89284324645996,1683.47314453125,0.9982851147651672,0.39837878942489624,0.015123815275728703,1642.1739501953125,2719.986572265625,36.12434768676758,2735.427978515625
47,0.9954537153244019,0.46638014912605286,0.03192930296063423,0.0010000000474974513,1011.0090942382812,1680.8802490234375,26.892852783203125,1683.47607421875,0.9982851147651672,0.34756818413734436,0.015547772869467735,1642.1741943359375,2719.98681640625,36.12434005737305,2735.427734375
48,0.9954537153244019,0.4779946208000183,0.03202056884765625,0.0010000000474974513,1011.028564453125,1680.88671875,26.892900466918945,1683.482421875,0.9982851147651672,0.34756818413734436,0.016003018245100975,1642.2010498046875,2719.986328125,36.124324798583984,2735.427490234375
49,0.9954537153244019,0.48375505208969116,0.031845055520534515,0.0010000000474974513,1011.02783203125,1680.885986328125,26.89288902282715,1683.4820556640625,0.9982851147651672,0.39837878942489624,0.01518465019762516,1642.1826171875,2719.986328125,36.12434005737305,2735.427978515625
