Metric,Phase 3,Phase 4,Phase 5
Classification - Accuracy,0.8462671905697446,0.862475442043222,0.8276031434184676
Classification - F1,0.5279034690799397,0.6067415730337079,0.0
Regression - MAE,0.1697664111852646,0.186309814453125,0.163966566324234
Regression - Direction Acc,0.21414538310412573,0.19548133595284872,0.20235756385068762
Overfitting Gap,0.4126467704772949,0.3027796149253845,-0.018077075481414795
Strong Signal Dir Acc,,0.6536964980544747,0.6731517509727627
